date,n_entry,n_exit,win_krw,loss_krw,realized_krw,cash,position_value,n_open,equity,cum_ret,daily_ret
2026-08-10,1,0,0,0,0,8633333,1385658,1,10018991,0.001899,0.0
2026-08-11,2,0,0,0,0,6583333,3445122,3,10028455,0.002846,0.000945
2026-08-12,6,2,57850,0,57850,1174516,8894599,7,10069115,0.006912,0.004054
2026-08-13,3,6,177334,-15505,161829,4753012,5439016,4,10192028,0.019203,0.012207
2026-08-14,2,3,11934,-63219,-51286,6068393,4269287,3,10337680,0.033768,0.014291
2026-08-18,2,2,46493,-5311,41182,6792908,3339058,3,10131966,0.013197,-0.019899
2026-08-19,2,3,19500,-292808,-273309,7202933,2701030,2,9903963,-0.009604,-0.022503
2026-08-20,4,2,25905,0,25905,5178838,4795988,4,9974826,-0.002517,0.007155
2026-08-21,3,4,0,-93723,-93723,6451782,3411485,3,9863267,-0.013673,-0.011184
2026-08-24,1,3,0,-23272,-23272,8478510,1409005,1,9887515,-0.011248,0.002458
2026-08-25,4,1,22100,0,22100,5083944,4889940,4,9973884,-0.002612,0.008735
2026-08-26,0,4,85380,0,85380,9952657,0,0,9952657,-0.004734,-0.002128
2026-08-27,2,0,0,0,0,7219324,2744748,2,9964072,-0.003593,0.001147
2026-08-28,0,2,31898,-43997,-12099,9940558,0,0,9940558,-0.005944,-0.00236
2026-08-31,6,0,0,0,0,2423892,7621259,6,10045151,0.004515,0.010522
2026-09-01,4,6,65832,-20687,45145,4519037,5414289,4,9933325,-0.006667,-0.011132
