date,generated_at,mode,action,code,name,strategy,qty,note,order_no
2026-08-26,2026-08-26 11:13:32,dry_run,plan_only,091180,KODEX_Auto,volbreak,0,스탑매수 시가+580원 (KIS 조건부 주문 미지원 — 표시만),
2026-08-26,2026-08-26 11:13:32,dry_run,plan_only,305720,KODEX_Battery,volbreak,0,스탑매수 시가+322원 (KIS 조건부 주문 미지원 — 표시만),
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,069500,KODEX 200,-,2,SwingETF 잔여 청산,23829.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,091160,KODEX 반도체,-,2,SwingETF 잔여 청산,23834.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,091170,KODEX 은행,-,17,SwingETF 잔여 청산,23840.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,091180,KODEX 자동차,-,8,SwingETF 잔여 청산,23845.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,102110,TIGER 200,-,2,SwingETF 잔여 청산,23850.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,102970,KODEX 증권,-,12,SwingETF 잔여 청산,23852.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,114260,KODEX 국고채3년,-,8,SwingETF 잔여 청산,23855.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,117700,KODEX 건설,-,43,SwingETF 잔여 청산,23859.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,132030,KODEX 골드선물(H),-,20,SwingETF 잔여 청산,
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,133690,TIGER 미국나스닥100,-,1,SwingETF 잔여 청산,23870.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,139260,TIGER 200 IT,-,1,SwingETF 잔여 청산,23873.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,139660,KIWOOM 미국달러선물인버스,-,34,SwingETF 잔여 청산,23882.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,143850,TIGER 미국S&P500선물(H),-,3,SwingETF 잔여 청산,23885.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,148070,KIWOOM 국고채10년,-,4,SwingETF 잔여 청산,23889.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,153130,KODEX 단기채권,-,5,SwingETF 잔여 청산,23895.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,157490,TIGER 소프트웨어,-,31,SwingETF 잔여 청산,23905.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,229200,KODEX 코스닥150,-,19,SwingETF 잔여 청산,23913.0
2026-08-26,2026-08-26 11:21:37,live_mock,liquidate_legacy,244580,KODEX 바이오,-,10,SwingETF 잔여 청산,23926.0
