date,taken_at,nasdaq_fut,sp_fut,usdkrw,gold_fut,us10y_fut
2026-08-10,2026-08-10 22:35:53,29808.75,7772.25,1417.530029296875,4391.0,108.453125
2026-08-11,2026-08-11 08:45:13,29707.5,7770.0,1417.5699462890625,4455.2001953125,108.3125
2026-08-12,2026-08-12 08:40:14,29650.0,7753.75,1412.31005859375,4430.89990234375,108.453125
2026-08-13,2026-08-13 08:45:12,29799.0,7770.0,1417.31005859375,4467.0,108.546875
2026-08-14,2026-08-14 08:40:28,30196.75,7825.25,1418.1800537109375,4418.0,108.90625
2026-08-18,2026-08-18 08:50:23,30097.25,7767.75,1414.7099609375,4477.89990234375,108.46875
2026-08-19,2026-08-19 08:50:23,29531.0,7711.25,1412.3499755859375,4381.2998046875,108.515625
2026-08-20,2026-08-20 09:00:17,29655.25,7742.5,1389.260009765625,4572.0,108.8125
2026-08-21,2026-08-21 08:50:56,29316.5,7668.0,1392.5799560546875,4581.0,108.484375
2026-08-24,2026-08-24 08:55:14,29432.0,7695.5,1385.8199462890625,4667.10009765625,108.296875
2026-08-25,2026-08-25 08:30:17,29118.5,7674.0,1382.4200439453125,4732.0,108.46875
2026-08-26,2026-08-26 08:44:14,,,,,
2026-08-27,2026-08-27 08:55:12,29606.5,7734.5,1384.5999755859375,4676.7001953125,108.75
2026-08-28,2026-08-28 08:45:19,29606.5,7729.5,1381.9000244140625,4652.10009765625,108.34375
2026-08-31,2026-08-31 09:00:13,29313.25,7690.75,1379.5699462890625,4492.10009765625,107.890625
2026-09-01,2026-09-01 08:50:13,29502.25,7703.5,1366.77001953125,4493.7998046875,107.671875
2026-09-02,2026-09-02 09:25:23,29130.0,7644.75,1370.47998046875,4374.7001953125,107.375
2026-09-03,2026-09-03 09:50:22,29158.25,7673.5,1359.0799560546875,4433.2998046875,107.515625
